Opening,Strategy,Opponent,Wins,Losses,Draws,Win %,Games Played
No Opening,Random,ShortestPath,0,30,0,0.00,30
No Opening,ShortestPath,Random,30,0,0,100.00,30
No Opening,Random,Defensive,0,30,0,0.00,30
No Opening,Defensive,Random,30,0,0,100.00,30
No Opening,Random,Balanced,0,30,0,0.00,30
No Opening,Balanced,Random,30,0,0,100.00,30
No Opening,Random,Adaptive,0,30,0,0.00,30
No Opening,Adaptive,Random,30,0,0,100.00,30
No Opening,Random,Mirror,7,4,19,63.64,30
No Opening,Mirror,Random,4,7,19,36.36,30
No Opening,Random,SimulatedAnnealing0.5,4,10,16,28.57,30
No Opening,SimulatedAnnealing0.5,Random,10,4,16,71.43,30
No Opening,Random,SimulatedAnnealing1.0,3,9,18,25.00,30
No Opening,SimulatedAnnealing1.0,Random,9,3,18,75.00,30
No Opening,Random,Minimax1,3,14,13,17.65,30
No Opening,Minimax1,Random,14,3,13,82.35,30
No Opening,Random,Minimax2,4,15,11,21.05,30
No Opening,Minimax2,Random,15,4,11,78.95,30
Standard Opening,ShortestPath,SimulatedAnnealing0.5,30,0,0,100.00,30
Standard Opening,SimulatedAnnealing0.5,ShortestPath,0,30,0,0.00,30
Standard Opening,ShortestPath,SimulatedAnnealing1.0,30,0,0,100.00,30
Standard Opening,SimulatedAnnealing1.0,ShortestPath,0,30,0,0.00,30
Standard Opening,ShortestPath,Minimax1,15,15,0,50.00,30
Standard Opening,Minimax1,ShortestPath,15,15,0,50.00,30
Standard Opening,ShortestPath,Minimax2,30,0,0,100.00,30
Standard Opening,Minimax2,ShortestPath,0,30,0,0.00,30
Standard Opening,ShortestPath,MCTS5sec,6,24,0,20.00,30
Standard Opening,MCTS5sec,ShortestPath,24,6,0,80.00,30
Standard Opening,ShortestPath,MCTS1sec,6,24,0,20.00,30
Standard Opening,MCTS1sec,ShortestPath,24,6,0,80.00,30
Standard Opening,Defensive,Balanced,18,12,0,60.00,30
Standard Opening,Balanced,Defensive,12,18,0,40.00,30
Standard Opening,Defensive,Adaptive,14,16,0,46.67,30
Standard Opening,Adaptive,Defensive,16,14,0,53.33,30
Standard Opening,Defensive,Mirror,30,0,0,100.00,30
Standard Opening,Mirror,Defensive,0,30,0,0.00,30
Standard Opening,Random,SimulatedAnnealing1.0,5,14,11,26.32,30
Standard Opening,SimulatedAnnealing1.0,Random,14,5,11,73.68,30
Standard Opening,Random,Minimax1,7,15,8,31.82,30
Standard Opening,Minimax1,Random,15,7,8,68.18,30
